"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
36823;"PRONA";"Partido de Reedificação da Ordem Nacional";1;"Criação";"1989-06-20";36823;"PRONA";"Data do registro provisório no TSE. Registro definitivo obtido em 30/10/1990.";
36823;"PRONA";"Partido de Reedificação da Ordem Nacional";4;"Fusão";"2007-01-25 00:00:00.000";36814;"PR";"Registro no TSE e estatuto do PR têm data de 26/10/2006.";
36763;"PROS";"Partido Republicano da Ordem Social";1;"Criação";"2013-09-24";36763;"PROS";"Data de registro no TSE. Fundação extraoficial em 04/01/2010.";
36824;"PRP";"Partido Republicano Progressista";1;"Criação";"1991-11-22 00:00:00.000";36824;"PRP";"Data de registro no TSE. Fundação extraoficial em 24/05/1989.";
36824;"PRP";"Partido Republicano Progressista";5;"Incorporação";"2019-03-28 00:00:00.000";37900;"PATRI";"Data em que o TSE decidiu por unanimidade pela incorporação ao Patriota";
36879;"PRP*";"Partido de Representação Popular";1;"Criação";"1945-11-10 00:00:00.000";36879;"PRP*";"Data de deferimento do registro definitivo pela Resolução-TSE 323";
36879;"PRP*";"Partido de Representação Popular";2;"Extinção";"1965-10-27 00:00:00.000";36879;"PRP*";"Extinto pelo AI-2 em 1965";
;"PRP**";"Partido Republicano Progressista";1;"Criação";"1945-11-10 00:00:00";;"PRP**";"Resolução TSE 325, registro definitivo";
;"PRP**";"Partido Republicano Progressista";4;"Fusão";"1946-08-06 00:00:00";36840;"PSP";"Resolução-TSE 960. Juntou-se a PAN e PPS.";
36825;"PRPa";"Partido Republicano Paulista";2;"Extinção";;36825;"PRPa";;
36826;"PRR";"Partido Republicano Rio-Grandense";1;"Criação";"1882-02-23";36826;"PRR";;
36826;"PRR";"Partido Republicano Rio-Grandense";2;"Extinção";"1929-08-15 00:00:00.000";36826;"PRR";"Data aproximada. Juntou-se ao PL*** para criar a FUG, mas o PL*** continuou existindo como independente";
36827;"PRS";"Partido das Reformas Sociais";1;"Criação";"1990-02-01";36827;"PRS";"Data aproximada de registro provisório no TSE";
36827;"PRS";"Partido das Reformas Sociais";2;"Extinção";"1992-02-28 00:00:00.000";36827;"PRS";"Data aproximada de indeferimento do registro pelo TSE";
36828;"PRT";"Partido Republicano Trabalhista";1;"Criação";"1949-01-18 00:00:00";36828;"PRT";"Resultante da troca de nome do PRD, aprovada na Resolução TSE 3194";
36828;"PRT";"Partido Republicano Trabalhista";3;"Alteração Nome";"1961-11-17 00:00:00.000";;"PRT*";;
;"PRT*";"Partido Rural Trabalhista";1;"Criação";"1961-11-17 00:00:00";;"PRT*";"Resultante da troca de nome do PRT (36828), pela Resolução-TSE 6886";
;"PRT*";"Partido Rural Trabalhista";2;"Extinção";"1965-10-27 00:00:00";;;"Extinto pelo AI-2 em 1965";
36829;"PRTB";"Partido Renovador Trabalhista Brasileiro";1;"Criação";"1997-02-18";36829;"PRTB";"Data de registro definitivo no TSE. Criação extraoficial em 27/11/1994.";
36830;"PRVP";"Partido de Representação da Vontade Popular";2;"Extinção";;36830;"PRVP";;
36832;"PSB";"Partido Socialista Brasileiro";1;"Criação";"1988-07-01 00:00:00";36832;"PSB";"Data de registro no TSE";
